"DatasetID" "CellClusterID" "ManualAnnotationLabel" "nCells" "MeanRNAUMIsPerCell" "MeanATACFragmentsPerCell" "ATACtagAlignUnsorted" "ATACtagAlignSorted" "ATACtagAlignSortedIndex"
"1" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster1" "" 2514 "1994.622116" 3737.166269 "syn52236921" "" ""
"2" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster2" "" 2410 "2000.470124" 2529.422822 "syn52236915" "" ""
"3" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster3" "" 2111 "2030.82378" 3242.098295 "syn52236918" "" ""
"4" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster4" "" 2027 "1213.061667" 2674.806611 "syn52236902" "" ""
"5" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster5" "" 1709 "1281.624927" 1853.835284 "syn52236903" "" ""
"6" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster6" "" 1673 "1480.296473" 2256.367005 "syn52236908" "" ""
"7" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster7" "" 1602 "2905.836454" 3634.977216 "syn52236907" "" ""
"8" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster8" "" 1418 "2491.499295" 2663.00952 "syn52236929" "" ""
"9" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster9" "" 1283 "2529.179267" 3435.510522 "syn52236932" "" ""
"10" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster10" "" 1236 "2070.311489" 2721.308252 "syn52236897" "" ""
"11" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster11" "" 1137 "2185.00088" 3098.120053 "syn52236898" "" ""
"12" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster12" "" 885 "3668.725424" 3381.154237 "syn52236899" "" ""
"13" "230601_iPSC_art_ven_EC_10Xmultiome" "iPSC_art_ven_EC_10Xmultiome_SeuratCluster13" "" 223 "996.9820628" 1930.336323 "" "" ""
"14" "ENCSR023FME" "ENCSR023FME_Cluster1" "Type_I_skeletal_myocyte" 3528 "()" 4172 "syn52188510" "" ""
"15" "ENCSR023FME" "ENCSR023FME_Cluster2" "Fibroblast" 618 "()" 2623 "syn52188518" "" ""
"16" "ENCSR023FME" "ENCSR023FME_Cluster3" "Basal_epithelial_cell" 3272 "()" 3909 "syn52188865" "" ""
"17" "ENCSR023FME" "ENCSR023FME_Cluster4" "Endothelial_cell" 670 "()" 2487 "syn52188897" "" ""
