DatasetID	CellClusterID	FileType
Bridge_Satpathy	Bridge_Satpathy_GLUT	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_GABA	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_Oligodendrocyte	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_Astrocyte	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_OPC	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_Microglia	GeneExpressionCPM
Bridge_Satpathy	Bridge_Satpathy_VLMC	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster0	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster1	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster2	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster3	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster4	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster5	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster6	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster7	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster8	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster9	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster10	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster11	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster12	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster13	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster14	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster15	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster16	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster17	GeneExpressionCPM
CharacterizationMcGinnis_Dataset3	mcginnis_dataset3_cluster18	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster5	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster2	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster3	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster4	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster1	GeneExpressionCPM
ENCODE-Liver-10XMultiome	ENCSR618WVK_Cluster0	GeneExpressionCPM
GM12878_10XMultiome	GM12878_10XMultiome_Cluster1	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_GABA	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_GLUT	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_Astrocyte	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_Oligodendrocyte	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_OPC	GeneExpressionCPM
