ROW_ID	ROW_VERSION	ROW_ETAG	id	name	subpool	description	createdOn	createdBy	etag	modifiedOn	modifiedBy	type	currentVersion	parentId	benefactorId	projectId	dataFileHandleId	dataFileSizeBytes	dataFileMD5Hex	dataFileConcreteType	dataFileBucket	dataFileKey	md5_google
52117507	1	4727aea6-eab2-46a6-9515-eb37f3f24f8b	syn52117507	Team_2			1689785987970	3330650	4727aea6-eab2-46a6-9515-eb37f3f24f8b	1689785987970	3330650	folder	1	syn52117441	syn52117441	syn29530512							
52117643	2	e3ef215d-86d5-4153-b2a8-bf3466313c0a	syn52117643	CharacterizationMcGinnis_Dataset5_10xlane1.atac.filter.fragments.hg38.tsv.gz.tbi	CharacterizationMcGinnis_Dataset5_10xlane1		1689793231423	3330650	e3ef215d-86d5-4153-b2a8-bf3466313c0a	1689798736675	3330650	file	2	syn52117507	syn52117441	syn29530512	127171692	1964550	0bee1771aa0b9d30e8108be419e2bf06	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/c545e51a-a307-4e8d-a1ef-30543947d7c6/CharacterizationMcGinnis_Dataset5_10xlane1.atac.filter.fragments.hg38.tsv.gz.tbi	C+4XcaoLnTDoEIvkGeK/Bg==
52117646	2	c693d727-7b5d-4243-9304-97fd99e06082	syn52117646	CharacterizationMcGinnis_Dataset5_10xlane1.raw.tar.gz	CharacterizationMcGinnis_Dataset5_10xlane1		1689793438540	3330650	c693d727-7b5d-4243-9304-97fd99e06082	1689798746660	3330650	file	2	syn52117507	syn52117441	syn29530512	127171749	1013892858	23ea3ab1c0014fbba6f74333bac3499f	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/99386a65-0a84-41ca-9233-80d8dd4b6900/CharacterizationMcGinnis_Dataset5_10xlane1.raw.tar.gz	I+o6scABT7um90MzusNJnw==
52117647	2	c8f6afec-7c47-41b4-8641-9ffaf2948aaf	syn52117647	CharacterizationMcGinnis_Dataset5_10xlane1.qc.rna.hg38.barcode.metadata.tsv	CharacterizationMcGinnis_Dataset5_10xlane1		1689793450343	3330650	c8f6afec-7c47-41b4-8641-9ffaf2948aaf	1689810910116	3330650	file	2	syn52117507	syn52117441	syn29530512	127171750	40119681	2ab888a0dfeb7c8913b44e40e7ef2d6b	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/c840891b-ff68-419f-a923-296df3d6d433/CharacterizationMcGinnis_Dataset5_10xlane1.qc.rna.hg38.barcode.metadata.tsv	KriIoN/rfIkTtE5A5+8taw==
52117693	2	00bfb1ac-9e31-4711-ac6a-80841e456a89	syn52117693	CharacterizationMcGinnis_Dataset5_10xlane1.hg38.rna.h5	CharacterizationMcGinnis_Dataset5_10xlane1		1689793870149	3330650	00bfb1ac-9e31-4711-ac6a-80841e456a89	1689810953404	3330650	file	2	syn52117507	syn52117441	syn29530512	127177030	1663195892	a519c86a17bdad3b9d776296f3c81788	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/a6ef4951-7683-473a-909d-1a37ad51f7ad/CharacterizationMcGinnis_Dataset5_10xlane1.hg38.rna.h5	pRnIahe9rTudd2KW88gXiA==
52118051	1	6eb3ae50-6b20-473b-8ea3-abef88a88482	syn52118051	Dataset510xmultiomLane2.raw.tar.gz	CharacterizationMcGinnis_Dataset5_10xlane2		1689798763221	3330650	6eb3ae50-6b20-473b-8ea3-abef88a88482	1689798763504	3330650	file	1	syn52117507	syn52117441	syn29530512	127173576	739449256	627fbbdb4899842da7ed0ae235e14870	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/bb0602de-66fd-4c6e-a537-cb89c259bce0/Dataset510xmultiomLane2.raw.tar.gz	Yn+720iZhC2n7QriNeFIcA==
52118054	1	10d68622-8fab-4955-a24c-bbef548b680a	syn52118054	CharacterizationMcGinnis_Dataset5_10xlane1.atac.filter.fragments.hg38.tsv.gz	CharacterizationMcGinnis_Dataset5_10xlane1		1689799025238	3330650	10d68622-8fab-4955-a24c-bbef548b680a	1689799025514	3330650	file	1	syn52117507	syn52117441	syn29530512	127173583	7138801819	4c4390ad91f0c63db7725281f6326db3	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/12096094-a769-4c38-bab5-5def7d572131/CharacterizationMcGinnis_Dataset5_10xlane1.atac.filter.fragments.hg38.tsv.gz	TEOQrZHwxj23clKB9jJtsw==
52118055	1	3a3ffa45-f70d-4512-af32-86aa2c8d195e	syn52118055	Dataset510xmultiomLane2.atac.filter.fragments.hg38.tsv.gz	CharacterizationMcGinnis_Dataset5_10xlane2		1689799187623	3330650	3a3ffa45-f70d-4512-af32-86aa2c8d195e	1689799187919	3330650	file	1	syn52117507	syn52117441	syn29530512	127173593	6800484451	5ac84a9234808b6f90b7a133ffcb1ff6	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/d879cf3e-6943-470a-92a6-9d9bbdfbd955/Dataset510xmultiomLane2.atac.filter.fragments.hg38.tsv.gz	WshKkjSAi2+Qt6Ez/8sf9g==
52118056	1	d4a6a651-91b1-40bc-8d6e-3ef496e5944f	syn52118056	Dataset510xmultiomLane2.atac.filter.fragments.hg38.tsv.gz.tbi	CharacterizationMcGinnis_Dataset5_10xlane2		1689799188207	3330650	d4a6a651-91b1-40bc-8d6e-3ef496e5944f	1689799188502	3330650	file	1	syn52117507	syn52117441	syn29530512	127173594	1923337	2a432b1b8d3063ddcdd9ff1ca912d8ac	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/0e633a55-5530-4d54-81ab-41cbd326c6c9/Dataset510xmultiomLane2.atac.filter.fragments.hg38.tsv.gz.tbi	KkMrG40wY93N2f8cqRLYrA==
52118059	1	0c3afa80-9248-45f5-9fdf-72354985aa34	syn52118059	Dataset510xmultiomLane2.hg38.rna.h5	CharacterizationMcGinnis_Dataset5_10xlane2		1689799233956	3330650	0c3afa80-9248-45f5-9fdf-72354985aa34	1689799234252	3330650	file	1	syn52117507	syn52117441	syn29530512	127173630	1199819444	76a46370f6b094ac868439c29c458dc4	org.sagebionetworks.repo.model.file.S3FileHandle	proddata.sagebase.org	3330650/b3278264-1a7b-4495-99d0-feae68d130c7/Dataset510xmultiomLane2.hg38.rna.h5	dqRjcPawlKyGhDnCnEWNxA==
