DatasetID	FileSynapseName	FileDownloadName	fileType	FileSynID	parentId	projectId	subpoolOrLaneID
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.qc.hg38.metadata.tsv	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.qc.hg38.metadata.tsv	ATAC barcode metrics table	syn52119776	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.qc.hg38.metadata.tsv	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.qc.hg38.metadata.tsv	ATAC barcode metrics table	syn52119781	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.filter.fragments.hg38.tsv.gz	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.filter.fragments.hg38.tsv.gz	ATAC fragment file	syn52119126	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.filter.fragments.hg38.tsv.gz	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.filter.fragments.hg38.tsv.gz	ATAC fragment file	syn52119129	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.filter.fragments.hg38.tsv.gz.tbi	230601_iPSC_art_ven_EC_10Xmultiome_S1.atac.filter.fragments.hg38.tsv.gz.tbi	ATAC fragment file Tabix index	syn52119123	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.filter.fragments.hg38.tsv.gz.tbi	230601_iPSC_art_ven_EC_10Xmultiome_S2.atac.filter.fragments.hg38.tsv.gz.tbi	ATAC fragment file Tabix index	syn52119127	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_ClusterAssignment.tsv	230601_iPSC_art_ven_EC_10Xmultiome_ClusterAssignment.tsv	cluster assignment table	syn52236941	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_ClusterMetadata.tsv	230601_iPSC_art_ven_EC_10Xmultiome_ClusterMetadata.tsv	cluster metadata table	syn52236936	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster10.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster10.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236897	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster11.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster11.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236898	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster12.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster12.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236899	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster4.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster4.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236902	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster5.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster5.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236903	syn52236866	syn29530512	all
