DatasetID	DatasetName	ContactNominatedBy	Rationale	Assay	Seqspec	Biosample	BiosampleOntologyTerm	Species	FASTQOriginalLink	FASTQSynID	Publication	JamboreeTeam	ContactDataCurationAndAlignment	ContactDataFilteringQC	ProcessedDataSynID
CharacterizationMcGinnis_Dataset1	CharacterizationMcGinnis_Dataset1	"Chris McGinnis, Lea Starita, Mikko Taipale, Dan Bauer, Jay Shendure"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"U2OS (Taipale), HAP1 (Starita), HL60 (Bauer), K562 (Shendure), HUDEP2 (Bauer)"	"http://www.ebi.ac.uk/efo/EFO_0002869,http://www.ebi.ac.uk/efo/EFO_0007598,http://www.ebi.ac.uk/efo/EFO_0002793,http://www.ebi.ac.uk/efo/EFO_0002067,http://purl.obolibrary.org/obo/CL_0000038"	Human	https://www.synapse.org/#!Synapse:syn51703705	syn51703705	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset2	CharacterizationMcGinnis_Dataset2	"Chris McGinnis, Guillaume Lettre, Hicham Belhaj"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"teloHAEC +/- TNFa for 0hr, 4hr, or 24hr (Lettre)"	http://purl.obolibrary.org/obo/CL_2000018	Human	https://www.synapse.org/#!Synapse:syn51704076	syn51704076	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome	Dulguun Amgalan/Engreitz Lab	Profiling of Characterization + Networks Biosamples. Engreitz Lab conducting many CRISPR screens in this system	MULTI-seq		WTC11 differentiated to arterial and venous endothelial cells		Human	https://www.synapse.org/#!Synapse:syn51628509	syn51628509	Unpublished Engreitz Lab	1	Dulguun Amgalan	"Dulguun Amgalan, Chloe McCreery"	syn52118178
CharacterizationMcGinnis_Dataset3	CharacterizationMcGinnis_Dataset3	"Chris McGinnis, Lars Steinmetz, Marielle von Kooten, Gary Hon, Rich Sherwood, Ellie Gibbs"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"WTC11 cardio differentiation (Steinmetz), 3 timepoints, H9 cardio differentiation (Hon), 2 timepoints, HepG2 +/- serum starvation (Sherwood)"	"http://www.ebi.ac.uk/efo/EFO_0009747,http://www.ebi.ac.uk/efo/EFO_0003045,http://www.ebi.ac.uk/efo/EFO_0001187"	Human	https://www.synapse.org/#!Synapse:syn51704085	syn51704085	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset4	CharacterizationMcGinnis_Dataset4	"Chris McGinnis, Alun Vaughan-Jackson, Peter Du, Roni Levin-Konigsberg, Mike Bassik"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"WTC11-derived macrophages, 5 conditions: unstimulated, 
M1, M2, cholesterol-loaded, precursor (Bassik)"	http://www.ebi.ac.uk/efo/EFO_0009747	Human	https://www.synapse.org/#!Synapse:syn51704086	syn51704086	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0	"Chris McGinnis, Dulguun Amgalan, Jesse Engreitz"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	WTC11 differentiation to endothelial cells (Engreitz)	http://www.ebi.ac.uk/efo/EFO_0009747	Human	https://www.synapse.org/#!Synapse:syn51704089	syn51704089	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset5	CharacterizationMcGinnis_Dataset5	"Chris McGinnis, Danwei Huangfu, Nadav Ahituv, Gary Hon, Doug Fowler"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"H1-derived gastruloids (Huangfu), WTC11-derived NGN2 neurons (Ahituv), H9-derived neurons (Hon), 3 timepoints, HEK293T (Fowler)"	"http://www.ebi.ac.uk/efo/EFO_0003042
http://www.ebi.ac.uk/efo/EFO_0009747
http://www.ebi.ac.uk/efo/EFO_0003045
http://www.ebi.ac.uk/efo/EFO_0001184"	Human	https://www.synapse.org/#!Synapse:syn51704087	syn51704087	Unpublished IGVF	2	"Ruhi Rai, Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52117507
CharacterizationMcGinnis_Dataset6	CharacterizationMcGinnis_Dataset6	"Chris McGinnis, Danwei Huangfu"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"H1 pancreatic differentiation, 7 timepoints (Huangfu)"	"http://www.ebi.ac.uk/efo/EFO_0003042
"	Human	https://www.synapse.org/#!Synapse:syn51704088	syn51704088	Unpublished IGVF	2	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52117507
ESC_10X_multiome	ESC_10X_multiome	Renhe Luo/Huangfu Lab	Profiling of Networks Biosamples collaborative project	10x Multiome		HUES8 hESC	https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0007093	Human	https://www.synapse.org/#!Synapse:syn51658433/files/	syn51658433	Unpublished IGVF	2			syn52117507
DED2_10X_multiome	DED2_10X_multiome	Renhe Luo/Huangfu Lab	Profiling of Networks Biosamples collaborative project	10x Multiome		HUES8 hESC-derived Definitive Endoderm-48h		Human	https://www.synapse.org/#!Synapse:syn51658433/files/	syn51658433	Unpublished IGVF	2			syn52117507
